Shop Name,Status,Priority,Address,City,State,Shop Type,Phone,Website,Email,Instagram,Notes,Contact Date,Contact Method,Follow Up Date,Contact Person,Owner Name,Referral,Product Interest,Follow Up Event Link,Visit Date,Outcome,Sales Process Notes,Latitude,Longitude,Status Updated By,Status Updated Date,Instagram Follow Count,Store Key
Apothecary Shoppe,Research,Medium,"5005 S Macadam Ave, Portland, OR 97239, United States",Portland,OR,Metaphysical/Spiritual,,http://www.apothecary-shoppe.com/,,@achsedu,,,,,,,,,,,,,,,,"3,493",apothecary-shoppe__5005-s-macadam-ave-portland-or-97239-united-states__portland__or
Seagrape Apothecary,Research,Medium,"2823 NE Sandy Blvd, Portland, OR 97232, United States",Portland,OR,Metaphysical/Spiritual,,https://www.seagrapeapothecary.com/,,@seagrapeapothecary,,,,,,,,,,,,,,,,31.9K,seagrape-apothecary__2823-ne-sandy-blvd-portland-or-97232-united-states__portland__or
Roots & Crowns Apothecary,Research,Medium,"1812 NW 24th Ave, Portland, OR 97210, United States",Portland,OR,Metaphysical/Spiritual,,http://www.rootsandcrowns.com/,,@rootsandcrownspdx,,,,,,,,,,,,,,,,37.6K,roots-crowns-apothecary__1812-nw-24th-ave-portland-or-97210-united-states__portland__or
The Apothecary Herb Shop & Wellness Cafe,Research,Medium,"825 SE Madison St, Portland, OR 97214, United States",Portland,OR,Metaphysical/Spiritual,,http://theapothecarycafe.com/,,,,,,,,,,,,,,,,,,,the-apothecary-herb-shop-wellness-cafe__825-se-madison-st-portland-or-97214-united-states__portland__or
The Way Home Shop – Metaphysical Store in SE Portland,Research,Medium,"8437 SE Stark St, Portland, OR 97216, United States",Portland,OR,Metaphysical/Spiritual,,https://thewayhomeshop.com/,,,,,,,,,,,,,,,,,,,the-way-home-shop-metaphysical-store-in-se-portland__8437-se-stark-st-portland-or-97216-united-states__portland__or
Soulful PDX,Research,Medium,"8029 SE 13th Ave, Portland, OR 97202, United States",Portland,OR,Metaphysical/Spiritual,,http://www.soulfulpdx.com/,,,,,,,,,,,,,,,,,,,soulful-pdx__8029-se-13th-ave-portland-or-97202-united-states__portland__or
Dragon Herbarium,Research,Medium,"4638 SW Beaverton Hillsdale Hwy, Portland, OR 97221, United States",Portland,OR,Metaphysical/Spiritual,,http://dragonherbarium.com/,,@dragon_herbarium,,,,,,,,,,,,,,,,"2,678",dragon-herbarium__4638-sw-beaverton-hillsdale-hwy-portland-or-97221-united-states__portland__or
Crystal Lounge,Research,Medium,"2008 1st Ave, Seattle, WA 98121, United States",Seattle,WA,Metaphysical/Spiritual,,http://www.crystal-lounge.com/,,@crystallographygems,,,,,,,,,,,,,,,,,crystal-lounge__2008-1st-ave-seattle-wa-98121-united-states__seattle__wa
Gemheaven,Research,Medium,"1501 Pike Pl #408, Seattle, WA 98101, United States",Seattle,WA,Metaphysical/Spiritual,,http://www.gemheaven.net/,,,,,,,,,,,,,,,,,,,gemheaven__1501-pike-pl-408-seattle-wa-98101-united-states__seattle__wa
Fairyapothecary1,Research,Medium,"421 N 36th St, Seattle, WA 98103, United States",Seattle,WA,Metaphysical/Spiritual,,http://www.fairyapothecary1.com/,,@fairyprincesslolly,,,,,,,,,,,,,,,,,fairyapothecary1__421-n-36th-st-seattle-wa-98103-united-states__seattle__wa
Mysite,Research,Medium,"5902 California Ave SW, Seattle, WA 98136, United States",Seattle,WA,Metaphysical/Spiritual,,https://mysite.vagaro.com/westcoastwillowapothecary,,,,,,,,,,,,,,,,,,,mysite__5902-california-ave-sw-seattle-wa-98136-united-states__seattle__wa
Phantom Quartz,Research,Medium,"711 N 35th St B, Seattle, WA 98103, United States",Seattle,WA,Metaphysical/Spiritual,,http://www.phantom-quartz.com/,,,,,,,,,,,,,,,,,,,phantom-quartz__711-n-35th-st-b-seattle-wa-98103-united-states__seattle__wa
4sistersholisticremedies,Research,Medium,"903 S 3rd St, Renton, WA 98057, United States",Renton,WA,Metaphysical/Spiritual,,https://4sistersholisticremedies.com/,,@4sistersholisticremedies,,,,,,,,,,,,,,,,"3,759",4sistersholisticremedies__903-s-3rd-st-renton-wa-98057-united-states__renton__wa
Blackbirdspiritual,Research,Medium,"5243 S Tacoma Way Suite C, Tacoma, WA 98409, United States",Tacoma,WA,Metaphysical/Spiritual,,https://www.blackbirdspiritual.com/,,,,,,,,,,,,,,,,,,,blackbirdspiritual__5243-s-tacoma-way-suite-c-tacoma-wa-98409-united-states__tacoma__wa
Earth Shine Llc,Research,Medium,"743 Broadway, Tacoma, WA 98402, United States",Tacoma,WA,Metaphysical/Spiritual,,http://earth-shine-llc.com/,,@earthshine_apothecary,,,,,,,,,,,,,,,,"1,129",earth-shine-llc__743-broadway-tacoma-wa-98402-united-states__tacoma__wa
Crescentmoongifts,Research,Medium,"6901 6th Ave, Tacoma, WA 98406, United States",Tacoma,WA,Metaphysical/Spiritual,,https://www.crescentmoongifts.com/,,@crescentmoongifts,,,,,,,,,,,,,,,,"6,793",crescentmoongifts__6901-6th-ave-tacoma-wa-98406-united-states__tacoma__wa
Crystalspiritllc,Research,Medium,"3802 S Cedar St # B, Tacoma, WA 98409, United States",Tacoma,WA,Metaphysical/Spiritual,,https://crystalspiritllc.com/,,@crystalspirittacoma,,,,,,,,,,,,,,,,,crystalspiritllc__3802-s-cedar-st-b-tacoma-wa-98409-united-states__tacoma__wa
